01_15|Hakimi señoras y señores, va Hakimi, va. Aquí está Neves, la pelota para Carabajelia, mano a mano y definición. Desvío apenas!|Hakimi señoras y señores, va Hakimi, va. Aquí está Neves, la pelota para Carabajelia, mano a mano y definición. Desvío apenas!
01_18|ahí va Doué, se acomoda, Doué que le daaa, tapó el arquero, Fabián parece adelantado. Ahí está Fabián, Fabián, Fabián, palooo.|ahí va Doué, se acomoda, Doué que le daaa, tapó el arquero, Fabián parece adelantado. Ahí está Fabián, Fabián, Fabián, palooo.
01_47|Aquí está Odegaard. Odegaard que va esperando a Trosar. La marca de Pacho. Se viene Saka. Saka, Saka!|Aquí está Odegaard. Odegaard que va esperando a Trosar. La marca de Pacho. Se viene Saka. Saka, Saka!
01_56|Marquinhos! ¡A correr Ramos! ¡La mató y va, veremos! ¡Ahí está Ramos! Señoras y señores, otra vez se perdió el segundo París.|Marquinhos! ¡A correr Ramos! ¡La mató y va, veremos! ¡Ahí está Ramos! Señoras y señores, otra vez se perdió el segundo París.
01_60|En el primer partido mañana estaremos con Barcelona Inter.|En el primer partido mañana estaremos con Barcelona Inter.
02_22|Se viene Bellingham, pelota para Mbappé que ahí va, atención se viene el Madrid buscando el gol, Mbappé se la entregó a Raya, no la pudo esquinar, pudo haber sido gol del Madrid.|Se viene Bellingham, pelota para Mbappé que ahí va, atención se viene el Madrid buscando el gol, Mbappé se la entregó a Raya, no la pudo esquinar, pudo haber sido gol del Madrid.
02_40|Luis Kelly busca la falta, cae Camavinga, caño, habilitado Martinelli, Courtois, ahí está, Merino, otra vez Merino! señoras y señores|Luis Kelly busca la falta, cae Camavinga, caño, habilitado Martinelli, Courtois, ahí está, Merino, otra vez Merino! señoras y señores
02_48|Ahí va Rice !Gooooooool gooooooool!|Ahí va Rice !Gooooooool gooooooool!
02_53|Impresionante lo que acaba de hacer Rice.|Impresionante lo que acaba de hacer Rice.
02_62|Tenía ya amonestaciones para no jugar el próximo partido. Expulsado Camavinga por segunda tarjeta.|Tenía ya amonestaciones para no jugar el próximo partido. Expulsado Camavinga por segunda tarjeta.
02_65|Sobre el final expulsado por este enojo, lanzando el balón.|Sobre el final expulsado por este enojo, lanzando el balón.
03_03|La apertura para Barcola. Esto es lo que digo, si no vuelven rápido están listos. Pelota para Dembélé! ¡Ahí está! ¡GOOOL!|La apertura para Barcola. Esto es lo que digo, si no vuelven rápido están listos. Pelota para Dembélé! ¡Ahí está! ¡GOOOL!
03_05|¡Lo hizo Hakimi! Justamente de esto hablábamos.|¡Lo hizo Hakimi! Justamente de esto hablábamos.
chunk_000|pero con una diferencia. La hizo en el primer tiempo. Va tomando la de hoy|pero con una diferencia. La hizo en el primer tiempo. Va tomando la de hoy
chunk_001|Va sacando la pelota Tchuameni, la va dominando Fernández, se tiró para Messi, Messi que mete largo para Álvarez, cobertura de Varane, la pelota no tenía fuerza.|Va sacando la pelota Tchuameni, la va dominando Fernández, se tiró para Messi, Messi que mete largo para Álvarez, cobertura de Varane, la pelota no tenía fuerza.
chunk_002|No podía llegarle a Lloris, por eso cuando presionaba Álvarez|No podía llegarle a Lloris, por eso cuando presionaba Álvarez
chunk_003|Media vuelta de Varane afuera, lateral para la Argentina, frente al área del Lloris.|Media vuelta de Varane afuera, lateral para la Argentina, frente al área del Lloris.
chunk_004|La Argentina ha jugado impecablemente este primer tiempo. Como no se le ha visto un primer tiempo de esta manera de punta a punta.|La Argentina ha jugado impecablemente este primer tiempo. Como no se le ha visto un primer tiempo de esta manera de punta a punta.
chunk_005|Va a sacar el balón Molina, nada menos que en una final.|Va a sacar el balón Molina, nada menos que en una final.
chunk_006|Y buscó el primero, cuando van por el segundo, insistía.|Y buscó el primero, cuando van por el segundo, insistía.
chunk_007|Molina que va! La perdió en en la jugada que rebotaba Álvarez.|Molina que va! La perdió en en la jugada que rebotaba Álvarez.
chunk_008|Van tocado larga para Mbappé, se abrió de piernas pero no pudo con Romero que lo adivinó por atrás. Va a sacar la pelota con Martínez, media luna.|Van tocado larga para Mbappé, se abrió de piernas pero no pudo con Romero que lo adivinó por atrás. Va a sacar la pelota con Martínez, media luna.
chunk_009|La va dominando Emiliano Martínez, el arquero, la combinación es con Otamendi. Como dijo Nico Cantor se van a jugar 7 minutos más.|La va dominando Emiliano Martínez, el arquero, la combinación es con Otamendi. Como dijo Nico Cantor se van a jugar 7 minutos más.
chunk_010|Va buscando la pelota, faltan cuatro, abre la cancha para Di María, Di María a otro caño, tira, esta vez no podía pasar.|Va buscando la pelota, faltan cuatro, abre la cancha para Di María, Di María a otro caño, tira, esta vez no podía pasar.
chunk_011|Contra Mouani. Va jugando la pelota hacia atrás para Varane, sale Francia del fondo.|Contra Mouani. Va jugando la pelota hacia atrás para Varane, sale Francia del fondo.
chunk_012|Va tocando para un costado para Tchouameni. Tchouameni que va! jugando la pelota otra vez para Upamecano.|Va tocando para un costado para Tchouameni. Tchouameni que va! jugando la pelota otra vez para Upamecano.
chunk_013|Upamecano que no tiene pase, nadie tiene pase. No hay pase porque está todo tomado.|Upamecano que no tiene pase, nadie tiene pase. No hay pase porque está todo tomado.
chunk_014|Griezmann está absorbido por McAllister, buscando la pelota en la mitad de la cancha Upamecano.|Griezmann está absorbido por McAllister, buscando la pelota en la mitad de la cancha Upamecano.
chunk_015|¡Ahi está abriéndola! Pelota para Turán, Turán quiere escapar de la raya, está preso en la raya.|¡Ahi está abriéndola! Pelota para Turán, Turán quiere escapar de la raya, está preso en la raya.
chunk_016|Francia, se viene con la pelota Turán. Se la hacen rebotar, pero el árbitro dice que no.|Francia, se viene con la pelota Turán. Se la hacen rebotar, pero el árbitro dice que no.
chunk_017|Es para Francia se la hacía rebotar parecía Molina. Lateral que se va haciendo para Upamecano. Que me quiere decir Burru.|Es para Francia se la hacía rebotar parecía Molina. Lateral que se va haciendo para Upamecano. Que me quiere decir Burru.
